,_id,local,municipio,bairro,endereco,cep
120,67bf9e83f414a80755bb6ba5,COLÉGIO MARISTA SÃO JOSÉ,RIO DE JANEIRO,TIJUCA,"RUA CONDE DE BONFIM, 1067",20530001
121,67bf9e83f414a80755bb6ba6,ESCOLA PALAS (R. SÃO RAFAEL),RIO DE JANEIRO,TIJUCA,RUA SAO RAFAEL 38,20530380
122,67bf9e83f414a80755bb6ba7,BANCO ITAÚ S/A (PRÓX. PRIX),RIO DE JANEIRO,TIJUCA,"RUA CONDE DE BONFIM, 807",20530000
123,67bf9e83f414a80755bb6ba8,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,RIO DE JANEIRO,TIJUCA,RUA DR. OTAVIO KELLY 110,20511280
124,67bf9e83f414a80755bb6ba9,ESCOLA OGA MITÁ,RIO DE JANEIRO,TIJUCA,"RUA CONDE DE BONFIM, 1305",20530001
125,67bf9e83f414a80755bb6baa,ESCOLA MUNICIPAL ARAÚJO PORTO ALEGRE,RIO DE JANEIRO,TIJUCA,ESTRADA VELHA DA TIJUCA 181,20531080
126,67bf9e83f414a80755bb6bab,ESCOLA PALAS (R. CONDE DE BONFIM),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 774,20530002
127,67bf9e83f414a80755bb6bac,MONTANHA CLUBE,RIO DE JANEIRO,TIJUCA,ESTRADA VELHA DA TIJUCA 447,20531080
128,67bf9e83f414a80755bb6bad,ESCOLA PETITE DANSE,RIO DE JANEIRO,TIJUCA,"RUA URUGUAI, 483",20510057
129,67bf9e83f414a80755bb6bae,CURSO ALIANÇA FRANCESA,RIO DE JANEIRO,TIJUCA,"RUA ANDRADE NEVES, 315",20510230
130,67bf9e83f414a80755bb6baf,ESCOLA MUNICIPAL RIO DE JANEIRO,RIO DE JANEIRO,ENGENHO NOVO,RUA PEÇANHA DA SILVA 165,20780340
131,67bf9e83f414a80755bb6bb0,CEFET - MARIA DA GRAÇA,RIO DE JANEIRO,MARIA DA GRAÇA,"RUA MIGUEL ÂNGELO, 96",20785902
132,67bf9e83f414a80755bb6bb1,ESCOLA MUNICIPAL DELFIM MOREIRA,RIO DE JANEIRO,ROCHA,PRAÇA UBAJARA 28,20975020
133,67bf9e83f414a80755bb6bb2,COLÉGIO ROSA DE SARON,RIO DE JANEIRO,JACARÉ,"RUA LINO TEIXEIRA, N 112",20970007
134,67bf9e83f414a80755bb6bb3,ESCOLA MUNICIPAL CÍVICO-MILITAR CARIOCA,RIO DE JANEIRO,ROCHA,"RUA CONDE DE PORTO ALEGRE, 301",20961040
135,67bf9e83f414a80755bb6bb4,ESCOLA MUNICIPAL GEORGE SUMMER,RIO DE JANEIRO,RIACHUELO,RUA ANA NÉRI 2028,20980061
136,67bf9e83f414a80755bb6bb5,IGREJA NOSSA SENHORA DA LUZ,RIO DE JANEIRO,ROCHA,RUA ANA NÉRI 1114,20960005
137,67bf9e83f414a80755bb6bb6,GINÁSIO EXPERIMENTAL TECNOLÓGICO ELZA SOARES,RIO DE JANEIRO,ROCHA,"RUA ANA NERI, 1552",20960005
138,67bf9e83f414a80755bb6bb7,CIEP VINÍCIUS DE MORAES,RIO DE JANEIRO,JACARÉ,AV. DOM HÉLDER CÂMARA 1715,20973011
139,67bf9e83f414a80755bb6bb8,IGREJA BATISTA DO ROCHA,RIO DE JANEIRO,ROCHA,RUA DR. GARNIER 610,20975000
140,67bf9e83f414a80755bb6bb9,IGREJA JESUS DIVINO MESTRE,RIO DE JANEIRO,CACHAMBI,RUA VELINDA MAURICIO DA FONSECA 66,20785170
141,67bf9e83f414a80755bb6bba,CIEP CHANCELER WILLY BRANDT,RIO DE JANEIRO,JACARÉ,"RUA ÁLVARO SEIXAS, S/N",20961270
142,67bf9e83f414a80755bb6bbb,ESCOLA MUNICIPAL MEDEIROS E ALBUQUERQUE,RIO DE JANEIRO,ENGENHO NOVO,RUA BOLÍVIA 62,20780170
143,67bf9e83f414a80755bb6bbc,ESCOLA MUNICIPAL JEAN MERMOZ,RIO DE JANEIRO,CACHAMBI,"RUA SÃO GABRIEL, 261",20785290
144,67bf9e83f414a80755bb6bbd,COLEGIO ERNANI CARDOSO,RIO DE JANEIRO,ENGENHO NOVO,RUA MARQUES DE LEAO 9  ,20780140
145,67bf9e83f414a80755bb6bbe,COLÉGIO IMACULADO CORAÇÃO DE MARIA,RIO DE JANEIRO,MEIER,"RUA  ARISTIDES CAIRE, 141",20775090
146,67bf9e83f414a80755bb6bbf,ESCOLA MUNICIPAL PERNAMBUCO,RIO DE JANEIRO,MARIA DA GRAÇA,RUA CONDE DE AZAMBUJA 579,20785340
147,67bf9e83f414a80755bb6bc0,ESCOLA MUNICIPAL PROFESSOR VISITACAO,RIO DE JANEIRO,CACHAMBI,RUA FERREIRA DE ANDRADE 209  ,20780200
148,67bf9e83f414a80755bb6bc1,ESCOLA MUNICIPAL THOMAS MANN,RIO DE JANEIRO,CACHAMBI,RUA FERREIRA DE ANDRADE 195  ,20780200
149,67bf9e83f414a80755bb6bc2,GINASIO ESTADUAL CENTRAL DO BRASIL,RIO DE JANEIRO,MEIER,RUA RIO GRANDE DO SUL 49  ,20775100
150,67bf9e83f414a80755bb6bc3,GAP- DEL CASTILHO,RIO DE JANEIRO,DEL CASTILHO,RUA VLAMINCK 125,20771360
151,67bf9e83f414a80755bb6bc4,COLEGIO HELIO ALONSO,RIO DE JANEIRO,MEIER,RUA LUCIDIO LAGO 427  ,20780020
152,67bf9e83f414a80755bb6bc5,COLEGIO SANTA MONICA,RIO DE JANEIRO,CACHAMBI,RUA HERMINIA 2  ,20780230
153,67bf9e83f414a80755bb6bc6,DIVISAO LOCAL DE SEGUROS SOCIAIS DO INSS,RIO DE JANEIRO,MEIER,RUA ARISTIDES CAIRE 218  ,20775090
154,67bf9e83f414a80755bb6bc7,ESCOLA RUTH SANTANA,RIO DE JANEIRO,CACHAMBI,RUA TORRES SOBRINHO 57  ,20780050
155,67bf9e83f414a80755bb6bc8,COLEGIO CELIO RODRIGUES,RIO DE JANEIRO,CACHAMBI,"RUA FERREIRA DE ANDRADE, 629",20780200
156,67bf9e83f414a80755bb6bc9,ESCOLA MUNICIPAL JOSÉ LINS DO REGO,RIO DE JANEIRO,CACHAMBI,"RUA REGINALDO PARDELHAS, S/N",20785170
157,67bf9e83f414a80755bb6bca,ESCOLA MUNICIPAL MANOEL BOMFIM,RIO DE JANEIRO,DEL CASTILHO,RUA BRAQUE 31  ,20771350
158,67bf9e83f414a80755bb6bcb,ESCOLA MUNICIPAL PROFESSOR CARLOS DELGADO DE CARVALHO,RIO DE JANEIRO,RECREIO,"RUA SEN. RUI CARNEIRO, 05",22790650
159,67bf9e83f414a80755bb6bcc,ESCOLA MUNICIPAL PROFESSORA ZULEIKA NUNES DE ALENCAR,RIO DE JANEIRO,BARRA DA TIJUCA,R. DES. ELMANO CRUZ 400 - ALFA BARRA 2,22793001
160,67bf9e83f414a80755bb6bcd,ESCOLA MUNICIPAL FREDERICO TROTTA,RIO DE JANEIRO,BARRA DA TIJUCA,AV. FAUSTO MOREIRA S/N BARRA SUL,22793340
161,67bf9e83f414a80755bb6bce,ESCOLA MUNICIPAL HEMETERIO DOS SANTOS,RIO DE JANEIRO,CAMORIM,ESTRADA DOS BANDEIRANTES 8293,22783116
162,67bf9e83f414a80755bb6bcf,ESCOLA MUNICIPAL PROFESSOR TEÓFILO MOREIRA DA COSTA,RIO DE JANEIRO,VARGEM GRANDE,RUA ESPERANCA 387,22785590
163,67bf9e83f414a80755bb6bd0,ESCOLA MUNICIPAL SÃO SEBASTIÃO,RIO DE JANEIRO,VARGEM PEQUENA,R. MANUEL BASTOS DE OLIVEIRA S/N,22783430
164,67bf9e83f414a80755bb6bd1,ESCOLA MUNICIPAL ALBERT EINSTEIN,RIO DE JANEIRO,BARRA DA TIJUCA,RUA GUIMARAES ROSA 166 NOVO LEBLON,22793620
165,67bf9e83f414a80755bb6bd2,ESCOLA MUNICIPAL VICE ALMIRANTE PAULO DE CASTRO MOREIRA DA SILVA,RIO DE JANEIRO,BARRA DA TIJUCA,AV. ADOLPHO DE VASCONCELOS 264 COND. PONTOES,22793380
166,67bf9e83f414a80755bb6bd3,CIEP MARGARET MEE,RIO DE JANEIRO,RECREIO,"RUA DESEMBARGADOR PAULO ALONSO, N 23",22790540
167,67bf9e83f414a80755bb6bd4,ESCOLA MUNICIPAL TRISTÃO DE ATHAYDE,RIO DE JANEIRO,BARRA DA TIJUCA,RUA BRAULIO EUGENIO MULLER 405 COND. MANDALA,22793530
168,67bf9e83f414a80755bb6bd5,ESCOLA MUNICIPAL PEROLA BYINGTON,RIO DE JANEIRO,VARGEM GRANDE,RUA LUCIANO GALLET S/N,22785110
169,67bf9e83f414a80755bb6bd6,ESCOLA MUNICIPAL MARGARIDA GLÓRIA DE FARIA,RIO DE JANEIRO,BARRA DA TIJUCA,AV. PROF. FAUSTO MOREIRA 250 - BARRA SUL,22793340
